feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
1700012B09Rik,4.446500681230762,0.389669842837426,"cardiac muscle cell,cell of skeletal muscle,ciliated columnar cell of tracheobronchial tree,club cell,lung neuroendocrine cell,type II pneumocyte",0.4066230058670044,hypothalamus,0.053198061883449554,0.9252137,True,True,True,False,False,False
Ankrd49,4.914589989667689,0.3254195386846886,"ependymal cell,female germ cell,male germ cell,mural cell,neural progenitor cell,oocyte,oogonial cell,pituitary gland cell,primordial germ cell,tanycyte",1.0822639465332031,ovary,0.968116283416748,0.89995176,True,True,False,False,False,False
Mre11a,5.320564324092495,0.2696951843897782,"female germ cell,male germ cell,microglial cell,native cell,oocyte,oogonial cell,pericyte,pituitary gland cell,primordial germ cell",0.7242730259895325,ovary,0.5846056342124939,0.84005344,False,False,False,False,False,False
Gpr83,4.639560837852713,0.3631702549187097,"duct epithelial cell,kidney collecting duct epithelial cell,kidney collecting duct principal cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,oocyte,seminal vesicle glandular cell,smooth muscle cell of prostate,urethra urothelial cell",0.786485493183136,urethra,0.48778992891311646,0.8984062,True,True,False,False,False,False
Izumo1r,0.7887778762554937,0.8917317325029344,"female germ cell,oocyte",0.25865885615348816,ovary,0.04819459468126297,0.988033,True,True,True,True,True,True
Panx1,6.228311801021615,0.1450970565638472,"Schwann cell,basal cell,double negative thymocyte,glioblast,hematopoietic stem cell,mesenchymal stem cell,regulatory T cell,stromal cell",0.7193801403045654,diencephalon,1.295021653175354,0.7375429,False,False,False,False,False,False
Hephl1,2.3483388260327294,0.677665178189782,"basal cell of epidermis,epidermal cell,hepatocyte,keratinocyte",0.16392049193382263,tongue,0.11015594750642776,0.96882266,True,True,True,True,True,True
Vstm5,3.756001688871542,0.4844482739543087,"GABAergic neuron,Leydig cell,ependymal cell,mural cell,native cell,neuron,oligodendrocyte precursor cell,pituitary gland cell,tanycyte",0.6622059345245361,"hypothalamus,primary motor cortex",0.45016753673553467,0.9406205,True,True,True,True,False,False
Med17,6.243963598111337,0.1429486786679502,"female germ cell,male germ cell,microglial cell,native cell,oocyte,oogonial cell,primordial germ cell",0.9868377447128296,ovary,0.6450845003128052,0.7814955,False,False,False,False,False,False
4931406C07Rik,2.998511326417637,0.588421992864807,"brush cell,enterocyte of epithelium of large intestine,epithelial cell of proximal tubule,kidney proximal convoluted tubule epithelial cell,kidney proximal straight tubule epithelial cell",8.952926635742188,"kidney,large intestine",3.5285539627075195,0.94884634,True,True,True,True,False,True
Taf1d,5.943212033102716,0.1842300734315723,"ependymal cell,epithelial cell of large intestine,female germ cell,hematopoietic stem cell,intestinal crypt stem cell,large intestine goblet cell,male germ cell,microglial cell,neural progenitor cell,neuron,oocyte,oogonial cell,pituitary gland cell,primordial germ cell,tanycyte",3.6329143047332764,"hypothalamus,ovary",2.9607150554656982,0.7582426,False,False,False,False,False,False
Cep295,4.682989896848589,0.3572091483536614,"ependymal cell,female germ cell,glioblast,microglial cell,mural cell,native cell,neural progenitor cell,neuron,oocyte,oogonial cell,pericyte,pituitary gland cell,tanycyte",1.1295886039733887,"hypothalamus,ovary",1.019923448562622,0.8919483,True,True,False,False,False,False
Smco4,4.175543046692312,0.4268616994293556,"Leydig cell,Sertoli cell,basal cell of prostate epithelium,fibroblast of connective tissue of prostate,granulosa cell,prostate gland microvascular endothelial cell,smooth muscle cell of prostate,supporting cell,urethra urothelial cell",1.8683936595916748,"gonad,prostate gland,urethra",1.3328776359558105,0.92091054,True,True,True,True,False,False
